repo,paradigm,stars,python_loc,python_files,total_files,dks_total,d1_lexicon,d2_ontology,d3_cross_ont,d4_schema,d5_profiles,d6_rules,d7_multilang,d8_regulatory
The-Pocket/PocketFlow-Tutorial-Codebase-Knowledge,LLM App,0,1467,7,234,13,0,5,0,0,3,0,0,5
JaidedAI/EasyOCR,Computer Vision,0,11310,71,340,11,0,5,0,0,3,3,0,0
lucidrains/vit-pytorch,Computer Vision,0,11963,72,139,11,0,5,0,0,3,3,0,0
floodsung/Deep-Learning-Papers-Reading-Roadmap,DL Framework,0,115,1,30,10,0,0,0,0,0,10,0,0
hindupuravinash/the-gan-zoo,ML Framework,0,63,1,36,10,0,0,0,0,10,0,0,0
zalandoresearch/fashion-mnist,Computer Vision,0,235,8,78,10,0,0,0,0,10,0,0,0
Yorko/mlcourse.ai,ML Framework,0,477,9,1093,10,0,0,0,0,10,0,0,0
chiphuyen/stanford-tensorflow-tutorials,NLP,0,2776,23,174,10,0,0,0,0,0,10,0,0
eriklindernoren/ML-From-Scratch,ML Framework,0,4174,46,116,8,0,5,0,0,3,0,0,0
graphdeco-inria/gaussian-splatting,Computer Vision,0,3211,26,87,8,0,0,5,0,3,0,0,0
ShangtongZhang/reinforcement-learning-an-introduction,RL,0,5453,24,107,8,0,0,0,5,3,0,0,0
cheahjs/free-llm-api-resources,LLM Infra,0,1252,2,37,6,0,0,0,0,0,6,0,0
BlinkDL/RWKV-LM,Chatbot,0,13070,67,207,6,0,0,0,0,3,3,0,0
rushter/MLAlgorithms,ML Framework,0,3026,47,113,6,0,0,0,0,3,3,0,0
yunjey/pytorch-tutorial,DL Framework,0,1659,21,72,5,0,0,0,0,0,0,5,0
jacobgil/pytorch-grad-cam,Computer Vision,0,2191,38,148,3,0,0,0,0,3,0,0,0
EmbraceAGI/awesome-chatgpt-zh,Chatbot,0,27,1,195,0,0,0,0,0,0,0,0,0
Jack-Cherish/PythonPark,DL Framework,0,0,0,32,0,0,0,0,0,0,0,0,0
milesial/Pytorch-UNet,Computer Vision,0,577,11,48,0,0,0,0,0,0,0,0,0
lengstrom/fast-style-transfer,DL Framework,0,618,7,64,0,0,0,0,0,0,0,0,0
lucidrains/denoising-diffusion-pytorch,DL Framework,0,6896,19,53,0,0,0,0,0,0,0,0,0
Jack-Cherish/Machine-Learning,ML Framework,0,4207,22,3104,0,0,0,0,0,0,0,0,0
ymcui/Chinese-BERT-wwm,NLP,0,0,0,53,0,0,0,0,0,0,0,0,0
